p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.99914154035248e-148,1.05278075754868,0.428,0.296,8.99742462105743e-145,0,SIK2
1.03983392484582e-147,3.00355407133668,0.524,0.392,3.11950177453745e-144,0,PLPPR1
7.71368667103004e-144,3.09134809753224,0.286,0.234,2.31410600130901e-140,0,TICAM1
4.70085481190473e-143,1.22283792495394,0.633,0.484,1.41025644357142e-139,0,NFIX
5.08941051100607e-142,0.962794294504785,0.445,0.284,1.52682315330182e-138,0,CDH4
2.22519207747608e-141,0.735456709032576,0.322,0.201,6.67557623242825e-138,0,LHX6
2.70643847176178e-140,1.69766041129258,0.382,0.215,8.11931541528535e-137,0,MATN2
4.52846292396673e-139,0.833975257979546,0.445,0.242,1.35853887719002e-135,0,FBXO32
1.23324392349107e-138,1.62277518895326,0.371,0.225,3.6997317704732e-135,0,CYP7B1
7.58220758017106e-138,2.9842966090099,0.345,0.225,2.27466227405132e-134,0,NMNAT3
4.73954052408738e-137,0.787498660316801,0.526,0.394,1.42186215722621e-133,0,MYEF2
1.26437544987334e-136,1.57499946435643,0.376,0.225,3.79312634962001e-133,0,CHST15
3.94234081674474e-136,0.716950462927275,0.314,0.25,1.18270224502342e-132,0,NEK6
3.94609280138342e-135,0.296147219615422,0.573,0.457,1.18382784041503e-131,0,GPC2
4.46914818777687e-135,0.753917237438127,0.515,0.397,1.34074445633306e-131,0,SH3BP5
3.55207245070547e-134,4.71800821215025,0.408,0.261,1.06562173521164e-130,0,TIPARP
4.51172365645319e-133,1.04490304889264,0.471,0.322,1.35351709693596e-129,0,CYP51
4.74307049384507e-129,0.44951493653307,0.354,0.196,1.42292114815352e-125,0,UNC5B
6.76828196831095e-126,2.12076368813117,0.265,0.194,2.03048459049328e-122,0,SERPING1
2.64935464064917e-125,1.16265207564086,0.457,0.302,7.94806392194752e-122,0,SMYD3
1.20138323686642e-123,7.51705002591697,0.427,0.265,3.60414971059927e-120,0,TES
1.45357800822053e-122,1.28004440096127,0.261,0.194,4.36073402466158e-119,0,DCST2
1.7722561790064e-121,1.58837597887509,0.374,0.225,5.31676853701921e-118,0,CLMN
5.48296717725805e-121,1.56829816665135,0.65,0.494,1.64489015317742e-117,0,ANK2
7.52125505041308e-121,1.11855450382959,0.398,0.232,2.25637651512392e-117,0,PIP4K2A
1.79703039028168e-119,2.67616522963148,0.347,0.224,5.39109117084504e-116,0,KIF6
1.90838280647478e-119,2.19406862080855,0.47,0.333,5.72514841942435e-116,0,MAPK10
1.13510742674478e-118,1.8699324819893,0.341,0.196,3.40532228023435e-115,0,RARB
5.72704917509674e-117,1.24250609640882,0.384,0.241,1.71811475252902e-113,0,ITGB4
3.01576069839373e-115,1.44739430399307,0.549,0.401,9.04728209518119e-112,0,FRMD5
3.82368536549131e-114,0.44573828434844,0.316,0.179,1.14710560964739e-110,0,RASA4
4.16447086782093e-114,0.48648668007493,0.489,0.367,1.24934126034628e-110,0,ELMOD1
2.99428711445413e-112,0.72950185727681,0.341,0.249,8.9828613433624e-109,0,SLC32A1
2.21392514338095e-111,0.727055162641568,0.461,0.338,6.64177543014284e-108,0,FAM107B
6.32842749161708e-111,0.419610883211611,0.33,0.191,1.89852824748513e-107,0,NOSTRIN
